origin,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,dep_delay,arr_delay
GTF,3.5675675675675675,0.0,14.286168521462638,0.0,14.686804451510334,21.589825119236885,32.54054054054054
GTR,2.218274111675127,0.0,11.101522842639595,0.0,21.746192893401016,27.85786802030457,35.065989847715734
GUC,3.0429184549356223,0.0,9.991416309012875,0.0,25.836909871244636,33.66523605150215,38.871244635193136
GUM,16.143617021276597,0.0,7.0638297872340425,0.0,2.398936170212766,19.96276595744681,25.606382978723403
HDN,3.9817444219066935,0.0,13.906693711967545,0.0,18.95740365111562,25.866125760649087,36.84584178498986
HGR,5.081632653061225,0.0,9.020408163265307,0.0,23.693877551020407,34.57142857142857,37.795918367346935
HHH,4.082666666666666,0.0,12.642666666666667,0.0,16.056,21.957333333333334,32.781333333333336
HIB,0.9285714285714286,0.0,11.17142857142857,0.0,24.214285714285715,28.428571428571427,36.31428571428572
HLN,3.331223628691983,0.0,14.215189873417721,0.0,14.067510548523206,19.746835443037973,31.61392405063291
HNL,13.23176698145409,0.0,4.737057685743543,0.0,10.123449766753897,21.27852998065764,28.09227443395153
HOB,3.8828125,0.0,16.5078125,0.0,12.6015625,20.671875,32.9921875
HOU,11.251250913588576,0.0,5.325462416371507,0.0,15.988418507899027,33.95828414010232,32.56513183785911
HPN,8.54598883338231,0.0,11.12606523655598,0.0,17.363502791654422,30.31854246253306,37.03555686159271
HRL,3.6225641025641027,0.0,10.223589743589743,0.0,19.78153846153846,28.392820512820514,33.62769230769231
HSV,4.741750989881214,0.0,10.817421909370875,0.0,19.460624725032996,29.30664320281566,35.01979762428508
HTS,7.602631578947369,0.0,5.997368421052632,0.0,20.907894736842106,33.46052631578947,34.507894736842104
HVN,5.726315789473684,0.0,12.089473684210526,0.0,21.068421052631578,34.15263157894737,38.88421052631579
HYA,7.035714285714286,0.0,8.607142857142858,0.0,21.857142857142858,38.32142857142857,37.5
HYS,1.1013215859030836,0.0,8.674008810572687,0.0,31.14977973568282,35.797356828193834,40.92511013215859
