Airport,dest_airport_count,dest_airport_percent,origin_airport_count,origin_airport_percent,total_airport_count,total_airport_percent
BRW,16,0.0,18,0.01,34,0.0
BJI,16,0.0,14,0.0,30,0.0
INL,15,0.0,14,0.0,29,0.0
IMT,15,0.0,26,0.01,41,0.01
APN,15,0.0,27,0.01,42,0.01
PSM,15,0.0,22,0.01,37,0.01
OGS,14,0.0,13,0.0,27,0.0
PIR,11,0.0,11,0.0,22,0.0
BRD,11,0.0,19,0.01,30,0.0
BKG,10,0.0,5,0.0,15,0.0
LBF,10,0.0,18,0.01,28,0.0
HIB,10,0.0,19,0.01,29,0.0
OWB,9,0.0,8,0.0,17,0.0
SMX,8,0.0,9,0.0,17,0.0
WYS,8,0.0,15,0.0,23,0.0
CYS,8,0.0,14,0.0,22,0.0
XWA,7,0.0,3,0.0,10,0.0
DLG,7,0.0,3,0.0,10,0.0
PPG,7,0.0,6,0.0,13,0.0
ATY,7,0.0,7,0.0,14,0.0
HGR,7,0.0,8,0.0,15,0.0
ADK,5,0.0,9,0.0,14,0.0
BFM,5,0.0,5,0.0,10,0.0
STC,5,0.0,8,0.0,13,0.0
ROP,4,0.0,1,0.0,5,0.0
OGD,4,0.0,12,0.0,16,0.0
HYA,3,0.0,5,0.0,8,0.0
AKN,2,0.0,3,0.0,5,0.0
GST,2,0.0,3,0.0,5,0.0
IFP,1,0.0,1,0.0,2,0.0
